FIPS_Code,State,"Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
0,US,47.7,31.1,10.6,10.7,33.5,34.6,15.7,16.2,24.8,30,24.9,20.3,19.6,28.6,27.4,24.4,12,27,28.9,32.1
1000,AL,58.7,25.9,7.5,7.8,43.5,31.8,12.5,12.2,33.1,29.4,21.7,15.7,24.7,30.4,25.9,19,13.8,30.8,29.9,25.5
1001,AL,54.8,31.1,7.7,6.4,40.6,35.2,12.1,12.1,30,32,23.5,14.5,21.3,33.8,26.9,18,11.5,33.6,28.4,26.6
1003,AL,59.4,26.7,7.4,6.5,39.7,33.7,14.5,12.1,26.8,31.8,24.6,16.8,18,29.6,29.3,23.1,9.2,27.7,31.3,31.9
1005,AL,68.8,19,4.9,7.3,55.1,26.1,9.7,9.2,44.4,27.1,16.7,11.8,35.3,32.4,21.3,10.9,26.8,35.6,26,11.6
1007,AL,73.1,19.4,3.3,4.2,59.5,29.6,6.1,4.9,48.2,33.8,13.2,4.7,36.8,35.7,20.4,7.1,20.9,44.9,23.8,10.4
1009,AL,70.5,22.7,4.1,2.7,53.9,32.4,8.4,5.3,39.5,34.7,18.8,7,29.6,36,24.8,9.6,19.5,33.4,34,13.1
1011,AL,72.9,16.5,5.2,5.4,59,22.5,9.8,8.8,51,24.8,14.2,10,39.5,35.2,17.5,7.7,25.3,40.3,22.3,12.1
1013,AL,70.5,20.7,4.2,4.6,55,28.8,8.1,8.2,47.2,29.1,15.6,8,32.2,34.5,22.9,10.4,15,45.2,23.7,16.1
1015,AL,58.6,26.5,7.3,7.5,43.3,32.8,12.9,11,32.6,30,23.2,14.2,26.1,32.2,26.4,15.2,15.6,32.8,33.2,18.5
